CAMIS,DBA,CUISINE.DESCRIPTION,full.address,lon,lat,type
40808118,BAR TABAC,French,"smith street 128 , NY, US",-73.9902721,40.6873668,bar
41599530,SAM'S RESTAURANT,American,"court street 238 , NY, US",-73.9945303,40.6859062,other
50053407,NEW D&B RESTAURANT,Chinese,"westervelt ave 74A , NY, US",-74.0862039,40.6458155,other
40383609,REAL MADRID RESTAURANT,Spanish,"forest avenue 2073 , NY, US",-74.1584324,40.6265819,other
41434693,SANSIMIAN JAMAICAN WEST INDIAN RESTAURANT,Caribbean,"flatbush avenue 1827 , NY, US",-73.939368,40.625326,other
50009476,UMAMI BURGER,Hamburgers,"liberty st 225 , NY, US",-74.0152654,40.7119835,other
41640818,RED OLIVE,American,"lexington avenue 660 , NY, US",-73.9701257,40.7598454,other
41534242,MCMURRAY HALL (SUNY MARITIME),American,"pennyfield avenue 6 , NY, US",-73.8011369,40.8091766,other
40398410,WEISS CAFE ROCKEFELLER UNIVERSITY,American,"york avenue 1188 , NY, US",-73.957781,40.7612923,cafe
41289484,GREEN AND ACKERMAN KOSHER DAIRY RESTAURANT & PIZZA,Jewish/Kosher,"ross street 216 , NY, US",-73.9587555,40.7066124,other
41652417,GYRO PLACE,Indian,"mcdonald avenue 473 , NY, US",-73.9791207,40.6426119,other
50016046,THE LIGHTHOUSE HEALTHY DELICACIES,"Juice, Smoothies, Fruit Salads","linden blvd 20033 , NY, US",-73.751559,40.69489,bar
41073985,HEARTLAND BREWERY,American,"5 avenue 350 , NY, US",-73.9856556,40.7487097,other
50017467,MIS TIERRAS COLOMBIANAS,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","roosevelt ave 5408 , NY, US",-73.910271,40.744543,other
50052600,AZUKI JAPANESE,Other,"irving pl 29 , NY, US",-73.9880951,40.7349378,other
41701897,MY KITCHEN,Continental,"metropolitan avenue 10617 , NY, US",-73.846392,40.70999,other
41290515,MI BELLA DAMA RESTAURANT,Spanish,"knickerbocker avenue 296 , NY, US",-73.9237398,40.7016524,other
40423481,KINGSTON TROPICAL BAKERY,Caribbean,"white plains road 4000 , NY, US",-73.8597049,40.8886211,other
50049572,ASIAN 59,Chinese/Japanese,"e 59th st 207 , NY, US",-73.9661704,40.7615119,other
41520477,SABOR A MEXICO TAQUERIA,Mexican,"1 avenue 160 , NY, US",-73.9842702,40.7285016,other
41092078,AQUAVIT,Scandinavian,"east   55 street 65 , NY, US",-73.9720839,40.7608582,other
40404080,LAZARD FRERES,American,"rockefeller plaza 30 , NY, US",-73.9793374,40.7589632,other
50012224,APPLEBEE'S,American,"gateway dr 448 , NY, US",-73.8755412,40.6510161,other
41671159,OXFORD CAFE,American,"east   52 street 140 , NY, US",-73.971269,40.757499,cafe
41636255,MAJLIS LOUNGE & CAFE,Indian,"union turnpike 24805 , NY, US",-73.7216129,40.7425518,cafe
50039294,CHEF QUANG GUYANESE CHINESE EXPRESS,Caribbean,"atlantic ave 3360 , NY, US",-73.8720537,40.6812485,other
41061016,PEARL RESTAURANT,Chinese,"liberty avenue 13103 , NY, US",-73.814818,40.690305,other
50046259,ESSENTIAL 608,Caribbean,"e fordham rd 608 , NY, US",-73.8848104,40.8582372,other
40809529,LA SORRENTINA PIZZERIA RESTAURANT,Italian,"11 avenue 6510 , NY, US",-74.0064277,40.6284788,other
41591831,LA OAXAQUENA RESTAURANT,Mexican,"amsterdam avenue 1969 , NY, US",-73.9414771,40.8331408,other
50045596,NEW CHINA,Chinese,"mosholu ave 5690 , NY, US",-73.9010451,40.9052118,other
50033454,TROPICAL PARADISE RESTAURANT AND BAKERY,Caribbean,"utica ave 888 , NY, US",-73.930589,40.6514263,other
41222437,CUPCAKE CAFE CASA,Caf̩/Coffee/Tea,"9 avenue 545 , NY, US",-73.9937096,40.7574461,cafe
41094546,PEOPLES CHOICE KITCHEN,Caribbean,"8 avenue 2733 , NY, US",-73.9418947,40.8234033,other
40373889,FELIDIA RESTAURANT,Italian,"east   58 street 243 , NY, US",-73.9651112,40.7603679,other
41357926,EL PASO TAQUERIA,Mexican,"east   97 street 64 , NY, US",-73.9528852,40.7873429,other
41302121,BARNES & NOBLE CAFE,Caf̩/Coffee/Tea,"warren street 97 , NY, US",-74.011751,40.7156001,cafe
41684638,DIRTY BIRD TO GO,Chicken,"chambers street 155 , NY, US",-74.0099709,40.716076,other
41379821,MCDONALD'S,Hamburgers,"eastchester road 1820 , NY, US",-73.844652,40.849275,other
41569380,TAQUERIA GUADALUPE,Mexican,"lexington avenue 1743 , NY, US",-73.9449426,40.7937181,other
41127083,MARKET CAFE,American,"lexington avenue 425 , NY, US",-73.9749494,40.7522669,cafe
50035409,PRIMA SARABELLA BAR RESTAURANT,Italian,"greenpoint ave 4108 , NY, US",-73.9236371,40.740028,bar
41716627,UPRIGHT,American,"hudson street 547 , NY, US",-74.0063662,40.7349338,other
41511463,GERBASI RISTORANTE,Italian,"arthur avenue 2389 , NY, US",-73.8880545,40.8553492,other
50036496,TAQUERIA ACATLAN,Mexican,"irving ave 298 , NY, US",-73.9146538,40.6990205,other
41590133,CAFE DEL SOL,Delicatessen,"7 avenue 480 , NY, US",-73.9900046,40.7522897,cafe
41104783,BUDEPEST CAFE,Eastern European,"2 avenue 1631 , NY, US",-73.9526156,40.777134,cafe
40735858,ACQUA SANTA,Italian,"driggs avenue 556 , NY, US",-73.9567138,40.717028,other
50053584,DON NENE RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","morris park ave 677 , NY, US",-73.8667482,40.8452458,other
40797031,PICANTERIA EL AUSTRO,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","83 street 3708 , NY, US",-73.8701913,40.7192804,other
40871961,TOTA'S,Caribbean,"utica avenue 244 , NY, US",-73.9312384,40.6701914,other
50001203,AKI SUSHI,Japanese,"e 52nd street 212 , NY, US",-73.9692992,40.7565952,other
41644123,MUSCLE MAKER GRILL,American,"arthur kill road 4916 , NY, US",-74.2389125,40.5221678,other
41590317,THAI ROCK,Thai,"beach   92 street 375 , NY, US",-73.8173211,40.5889881,other
40908641,MINETTA LANE THEATER,American,"minetta lane 18 , NY, US",-74.0011895,40.7304676,other
41652560,$1 PIZZA $2 BEER,Pizza,"macdougal street 95 , NY, US",-74.0011232,40.7295261,other
41654599,86 BAKERY,Chinese,"18 avenue 8512 , NY, US",-74.0024531,40.6076948,other
41634845,ATOYAMA SUSHI,Asian,"west   36 street 11 , NY, US",-73.9844035,40.7502602,other
50046319,PACO'S TACOS PLUS,Mexican,"86th st 1504 , NY, US",-74.009535,40.6111114,other
41466567,LA CERVECERIA,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","2 avenue 65 , NY, US",-73.9898081,40.7260895,other
41118227,QUIZNO'S SUBS,Sandwiches,"northern boulevard 21510 , NY, US",-73.7671853,40.7602865,other
41508168,WING WAH RESTAURANT,Chinese,"metropolitan avenue 9812 , NY, US",-73.8542491,40.7107863,other
41597047,Z-TWO DINER & LOUNGE,American,"veterans road west 2925 , NY, US",-74.230729,40.527271,other
41070330,LENNY'S PIZZERIA,Pizza/Italian,"crossbay boulevard 16402 , NY, US",-73.8381475,40.6505913,other
40390185,TRONO DE MEXICO,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","69 street 3819 , NY, US",-73.8960966,40.7466281,other
41291292,DUO TIAN BAKERY,Bakery,"eldridge street 118 , NY, US",-73.9916637,40.7184537,bakery
50000125,WOODHAVEN MANOR CATERS AND BANQUET,American,"jamaica ave 9601 , NY, US",-73.848839,40.694874,other
41368950,GOTHAM PIZZA,Pizza,"9 avenue 144 , NY, US",-74.002993,40.743826,other
40396598,ROCKAWAY BEACH INN,American,"rockaway beach boulevard 8822 , NY, US",-73.813897,40.587326,other
50005688,FUJIYAMA JAPANESE FUSION,Japanese,"13th ave 7307 , NY, US",-74.0062901,40.6211356,other
41552183,NEW TERRITORY CAKE SHOP,Bakery,"catherine street 77 , NY, US",-73.9963569,40.7109729,bakery
40646209,LEON BAKERY,Bakery,"9 avenue 695 , NY, US",-73.990236,40.7621819,bakery
40402397,THE RIVER CLUB,American,"east   52 street 447 , NY, US",-73.9632744,40.7544774,other
40730115,JOLLY TINKER,American,"webester avenue 2875 , NY, US",-73.8835002,40.867604,other
41629881,BAREBURGER,American,"8 avenue 153 , NY, US",-74.0011605,40.7421057,bar
41039229,CROWN FRIED CHICKEN,Chicken,"springfield boulevard 10302 , NY, US",-73.7359573,40.7131416,other
50017286,MR. POLLO #1,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","bell blvd 4220 , NY, US",-73.7705527,40.7621199,other
41464260,ARIEL'S CAFE,American,"queens boulevard 9717 , NY, US",-73.860583,40.7297162,cafe
41299074,THE DUB PIE SHOP,Australian,"prospect park west 211 , NY, US",-73.9800308,40.6603722,other
41348778,EASTVILLE COMEDY CLUB,American,"east    4 street 85 , NY, US",-73.9898,40.726589,other
41333637,DOWNS RIVER RESTAURANT,Caribbean,"stanley avenue 517 , NY, US",-73.8890916,40.65725,other
41645448,BOCBOC CHICKEN DELICIOUS,Asian,"queens boulevard 9015 , NY, US",-73.8705157,40.7344654,other
50003299,LEO'S PIZZA,Pizza,"36th ave 31-01 , NY, US",-73.9294361,40.756577,other
