CAMIS,DBA,CUISINE.DESCRIPTION,full.address
40808118,BAR TABAC,French,"smith street 128 , NY, US"
41599530,SAM'S RESTAURANT,American,"court street 238 , NY, US"
50053407,NEW D&B RESTAURANT,Chinese,"westervelt ave 74A , NY, US"
40383609,REAL MADRID RESTAURANT,Spanish,"forest avenue 2073 , NY, US"
41434693,SANSIMIAN JAMAICAN WEST INDIAN RESTAURANT,Caribbean,"flatbush avenue 1827 , NY, US"
50009476,UMAMI BURGER,Hamburgers,"liberty st 225 , NY, US"
41640818,RED OLIVE,American,"lexington avenue 660 , NY, US"
41534242,MCMURRAY HALL (SUNY MARITIME),American,"pennyfield avenue 6 , NY, US"
40398410,WEISS CAFE ROCKEFELLER UNIVERSITY,American,"york avenue 1188 , NY, US"
41289484,GREEN AND ACKERMAN KOSHER DAIRY RESTAURANT & PIZZA,Jewish/Kosher,"ross street 216 , NY, US"
41652417,GYRO PLACE,Indian,"mcdonald avenue 473 , NY, US"
50016046,THE LIGHTHOUSE HEALTHY DELICACIES,"Juice, Smoothies, Fruit Salads","linden blvd 20033 , NY, US"
41073985,HEARTLAND BREWERY,American,"5 avenue 350 , NY, US"
50017467,MIS TIERRAS COLOMBIANAS,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","roosevelt ave 5408 , NY, US"
50052600,AZUKI JAPANESE,Other,"irving pl 29 , NY, US"
41701897,MY KITCHEN,Continental,"metropolitan avenue 10617 , NY, US"
41290515,MI BELLA DAMA RESTAURANT,Spanish,"knickerbocker avenue 296 , NY, US"
40423481,KINGSTON TROPICAL BAKERY,Caribbean,"white plains road 4000 , NY, US"
50049572,ASIAN 59,Chinese/Japanese,"e 59th st 207 , NY, US"
41520477,SABOR A MEXICO TAQUERIA,Mexican,"1 avenue 160 , NY, US"
41092078,AQUAVIT,Scandinavian,"east   55 street 65 , NY, US"
40404080,LAZARD FRERES,American,"rockefeller plaza 30 , NY, US"
50012224,APPLEBEE'S,American,"gateway dr 448 , NY, US"
41671159,OXFORD CAFE,American,"east   52 street 140 , NY, US"
41636255,MAJLIS LOUNGE & CAFE,Indian,"union turnpike 24805 , NY, US"
50039294,CHEF QUANG GUYANESE CHINESE EXPRESS,Caribbean,"atlantic ave 3360 , NY, US"
41061016,PEARL RESTAURANT,Chinese,"liberty avenue 13103 , NY, US"
50046259,ESSENTIAL 608,Caribbean,"e fordham rd 608 , NY, US"
40809529,LA SORRENTINA PIZZERIA RESTAURANT,Italian,"11 avenue 6510 , NY, US"
41591831,LA OAXAQUENA RESTAURANT,Mexican,"amsterdam avenue 1969 , NY, US"
50045596,NEW CHINA,Chinese,"mosholu ave 5690 , NY, US"
50033454,TROPICAL PARADISE RESTAURANT AND BAKERY,Caribbean,"utica ave 888 , NY, US"
41222437,CUPCAKE CAFE CASA,Caf̩/Coffee/Tea,"9 avenue 545 , NY, US"
41094546,PEOPLES CHOICE KITCHEN,Caribbean,"8 avenue 2733 , NY, US"
40373889,FELIDIA RESTAURANT,Italian,"east   58 street 243 , NY, US"
41357926,EL PASO TAQUERIA,Mexican,"east   97 street 64 , NY, US"
41302121,BARNES & NOBLE CAFE,Caf̩/Coffee/Tea,"warren street 97 , NY, US"
41684638,DIRTY BIRD TO GO,Chicken,"chambers street 155 , NY, US"
41379821,MCDONALD'S,Hamburgers,"eastchester road 1820 , NY, US"
41569380,TAQUERIA GUADALUPE,Mexican,"lexington avenue 1743 , NY, US"
41127083,Market Cafe,American,"lexington avenue 425 , NY, US"
50035409,PRIMA SARABELLA BAR RESTAURANT,Italian,"greenpoint ave 4108 , NY, US"
41716627,UPRIGHT,American,"hudson street 547 , NY, US"
41511463,GERBASI RISTORANTE,Italian,"arthur avenue 2389 , NY, US"
50036496,TAQUERIA ACATLAN,Mexican,"irving ave 298 , NY, US"
41590133,CAFE DEL SOL,Delicatessen,"7 avenue 480 , NY, US"
41104783,BUDEPEST CAFE,Eastern European,"2 avenue 1631 , NY, US"
40735858,ACQUA SANTA,Italian,"driggs avenue 556 , NY, US"
50053584,DON NENE RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","morris park ave 677 , NY, US"
40797031,PICANTERIA EL AUSTRO,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","83 street 3708 , NY, US"
40871961,TOTA'S,Caribbean,"utica avenue 244 , NY, US"
50001203,AKI SUSHI,Japanese,"e 52nd street 212 , NY, US"
41644123,MUSCLE MAKER GRILL,American,"arthur kill road 4916 , NY, US"
41590317,THAI ROCK,Thai,"beach   92 street 375 , NY, US"
40908641,MINETTA LANE THEATER,American,"minetta lane 18 , NY, US"
41652560,$1 PIZZA $2 BEER,Pizza,"macdougal street 95 , NY, US"
41654599,86 BAKERY,Chinese,"18 avenue 8512 , NY, US"
41634845,ATOYAMA SUSHI,Asian,"west   36 street 11 , NY, US"
50046319,PACO'S TACOS PLUS,Mexican,"86th st 1504 , NY, US"
41466567,LA CERVECERIA,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","2 avenue 65 , NY, US"
41118227,QUIZNO'S SUBS,Sandwiches,"northern boulevard 21510 , NY, US"
41508168,WING WAH RESTAURANT,Chinese,"metropolitan avenue 9812 , NY, US"
41597047,Z-TWO DINER & LOUNGE,American,"veterans road west 2925 , NY, US"
41070330,LENNY'S PIZZERIA,Pizza/Italian,"crossbay boulevard 16402 , NY, US"
40390185,TRONO DE MEXICO,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","69 street 3819 , NY, US"
41291292,DUO TIAN BAKERY,Bakery,"eldridge street 118 , NY, US"
50000125,WOODHAVEN MANOR CATERS AND BANQUET,American,"jamaica ave 9601 , NY, US"
