CAMIS,DBA,CUISINE.DESCRIPTION,full.address
41368950,GOTHAM PIZZA,Pizza,"9 avenue 144 , NY, US"
40396598,ROCKAWAY BEACH INN,American,"rockaway beach boulevard 8822 , NY, US"
50005688,FUJIYAMA JAPANESE FUSION,Japanese,"13th ave 7307 , NY, US"
41552183,NEW TERRITORY CAKE SHOP,Bakery,"catherine street 77 , NY, US"
40646209,LEON BAKERY,Bakery,"9 avenue 695 , NY, US"
40402397,THE RIVER CLUB,American,"east   52 street 447 , NY, US"
40730115,JOLLY TINKER,American,"webester avenue 2875 , NY, US"
41629881,BAREBURGER,American,"8 avenue 153 , NY, US"
41039229,CROWN FRIED CHICKEN,Chicken,"springfield boulevard 10302 , NY, US"
50017286,MR. POLLO #1,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","bell blvd 4220 , NY, US"
41464260,ARIEL'S CAFE,American,"queens boulevard 9717 , NY, US"
41299074,THE DUB PIE SHOP,Australian,"prospect park west 211 , NY, US"
41348778,EASTVILLE COMEDY CLUB,American,"east    4 street 85 , NY, US"
41333637,DOWNS RIVER RESTAURANT,Caribbean,"stanley avenue 517 , NY, US"
41645448,BOCBOC CHICKEN DELICIOUS,Asian,"queens boulevard 9015 , NY, US"
50003299,LEO'S PIZZA,Pizza,"36th ave 31-01 , NY, US"
50001541,TONY & VAL'S,Pizza,"broadway 6201 , NY, US"
50000456,AA JING,Asian,"9th ave 689 , NY, US"
41691378,CHIPOTLE MEXICAN GRILL,Mexican,"2 avenue 604 , NY, US"
41068312,EL ENCUENTRO RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","104 street 3901 , NY, US"
50011938,C & Y NOODLE (#24 E),Chinese,"main st 4128 , NY, US"
50007359,SARILING ATIN,Filipino,"queens blvd 8912 , NY, US"
50011393,A1 OCHA SUSHI,Japanese,"w 46th st 350 , NY, US"
50035385,PAPA JOHN'S,Pizza,"grand st 343 , NY, US"
41238209,TOWER'S CAFE,American,"lenox avenue 506 , NY, US"
41504766,LA NUEVA COCINA RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","east kingsbridge road 12 , NY, US"
50000422,SOCIALE,Italian,"henry st 72 , NY, US"
50016964,BONCHON,Korean,"5th ave 325 , NY, US"
41612015,BROOKLYN BUSCHENSCHANK,German,"court street 320 , NY, US"
50050745,FAUN,Italian,"vanderbilt ave 606 , NY, US"
41695267,ICHI SUSHI,Japanese,"bay parkway 8609 , NY, US"
41260791,MANTA LLAVE DEL MAR BAR RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","northern boulevard 9912 , NY, US"
40397642,EUROPA NIGHT CLUB,American,"meserole avenue 98104 , NY, US"
41308819,TOKYO BAY JAPANESE RESTAURANT,Japanese,"duane street 183 , NY, US"
41290351,JOE'S,American,"amsterdam avenue 480 , NY, US"
41642313,LA ROSA BAKERY,Bakery,"east  170 street 155B , NY, US"
41378862,UMI SUSHI JAPANESE CUISINE,Japanese,"brighton beach ave 215 , NY, US"
50001776,THE PALM,American,"jfk international airport NKA , NY, US"
41239197,PINTO,Thai,"christopher street 118 , NY, US"
50001571,THE SANDWICH SHOP,Sandwiches,"grand street 658A , NY, US"
40512207,WOODLAWN CAFE,American,"jerome avenue 3700 , NY, US"
41611135,"DUNKIN' DONUTS, BASKIN ROBBINS",Donuts,"avenue of the americas 406 , NY, US"
41688594,THE FALAFEL SHOP,Vegetarian,"rivington street 127 , NY, US"
41700297,JULIANA'S PIZZA,Italian,"old fulton street 19 , NY, US"
41571269,SHILLELAGH TAVERN,American,"30 avenue 4722 , NY, US"
50006441,SLAKE,American,"w 30th st 251 , NY, US"
40960423,EL MAGUEY Y LA TUNA,Mexican,"east houston street 321 , NY, US"
50005906,STARBUCKS,Caf̩/Coffee/Tea,"park ave 270 , NY, US"
41511427,CULTURE ESPRESSO,Caf̩/Coffee/Tea,"west   38 street 72 , NY, US"
50016671,APERITIF,French,"39th ave 21341 , NY, US"
41130782,DEJA VU LOUNGE & BAR,American,"linden boulevard 18025 , NY, US"
41202176,TED'S MONTANA GRILL,American,"west   51 street 110 , NY, US"
41585919,GOOGLE WATER TOWER CAFE,American,"8 avenue 111 , NY, US"
50001318,KOLMARO,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","sherman avenue 185 , NY, US"
41428124,FORTY EIGHT LOUNGE,American,"avenue of the americas 1221 , NY, US"
41037812,EL NUEVO YOLY RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","featherbed lane 118 , NY, US"
40566431,CONNIE O'S,American,"norman avenue 158 , NY, US"
41451597,TOM'S COFFEE SHOP,Caf̩/Coffee/Tea,"east burnside avenue 250 , NY, US"
41636291,NIFOROS CORNER,Delicatessen,"11th st 3560 , NY, US"
41337907,GOOD HOPE RESTAURANT,Caribbean,"flatbush avenue 1683 , NY, US"
40916719,CAFE LA MORENA & DELI,Spanish,"3 avenue 950 , NY, US"
50001385,EL RANCHO RESTAURANT,Spanish,"flatbush ave 1157 , NY, US"
40389881,WHARF BAR AND GRILL,American,"beach  116 street 416 , NY, US"
50038685,MANHATTAN BREW AND VINE,American,"columbus ave 998 , NY, US"
50044250,FUJI JAPANESE CUISINE,Japanese,"queens blvd 11327 , NY, US"
40922528,DOMINO'S,Pizza,"1 avenue 1396 , NY, US"
41463394,HEARTLAND BREWERY,American,"8 avenue 625 , NY, US"
41525492,LA PENDA RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","grand concourse 2233 , NY, US"
41644212,Rafele,Pizza/Italian,"7 avenue south 29 , NY, US"
50045777,KULU DESSERTS,"Juice, Smoothies, Fruit Salads","broadway 8655 , NY, US"
40388091,MASAWA,Ethiopian,"amsterdam avenue 1239 , NY, US"
50000885,BRICKHOUSE PIZZERIA,Italian,"bedford ave 357 , NY, US"
41698000,KARAOKE DUET 48,American,"east   48 street 304 , NY, US"
50015640,LITTLE SKIPS OUTPOST,Caf̩/Coffee/Tea,"myrtle ave 1158 , NY, US"
41345931,PETE'S RESTAURANT & PIZZERIA,Pizza/Italian,"bell boulevard 3926 , NY, US"
41286923,DUNKIN' DONUTS,Donuts,"3 avenue 4521 , NY, US"
41678553,JESSIE'S EXPRESS CAFE,Sandwiches/Salads/Mixed Buffet,"8 avenue 411 , NY, US"
50035779,BIERLEICHEN,German,"seneca ave 582 , NY, US"
41452725,TASTE OF GEORGIA,Eastern European,"east   18 street 1637 , NY, US"
41546745,MI SABOR CAFE,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","broadway 920 , NY, US"
50037535,LOFT 142,Spanish,"w 142nd st 547 , NY, US"
41390168,THE VILLAGE LUNCHEONETTE,American,"mcdonald avenue 2374 , NY, US"
41212707,KING HING RESTAURANT,Chinese,"westchester avenue 3227 , NY, US"
40617736,BOTTINO,Italian,"10 avenue 248 , NY, US"
50003714,KIKU SUSHI,Japanese,"9th ave 235 , NY, US"
41403621,THIRD FLOOR CAFE,Korean,"5 avenue 315 , NY, US"
41112819,SONG,Thai,"5 avenue 295 , NY, US"
41083514,GAEL PUB,American,"3 avenue 1465 , NY, US"
41482729,PERIZIA CAFE  and  PIZZA,Pizza,"east   16 street 1626 , NY, US"
41244007,PAPA JOHN'S,Pizza,"rockaway boulevard 14720 , NY, US"
41038109,THE MANSFIELD BAR,American,"west   44 street 12 , NY, US"
41163307,TAQUERIA SAN PEDRO,Mexican,"broadway 3662 , NY, US"
41434744,CHINA DOLL,Chinese,"loring avenue 1356 , NY, US"
41319774,BAR & GRILL 43,American,"43 street 4306 , NY, US"
41615845,ROCCO PIZZA III,American,"halsey street 330 , NY, US"
50008544,UNCLE LOUIE GS ITALIAN ICES & ICE CREAM,"Ice Cream, Gelato, Yogurt, Ices","rockaway beach blvd 9210 , NY, US"
41340129,TACOS EL PAISANITO RESTAURANT,Mexican,"west fordham road 202 , NY, US"
40861669,NEW VICTORY RESTAURANT,Chinese,"5 avenue 4803 , NY, US"
41563707,PIZZERIA GIOVE,Italian,"new dorp lane 278 , NY, US"
41534897,VILLAGE 38,American,"8 avenue 575 , NY, US"
40578058,PHO BAC VIETNAMESE SEAFOOD CUISINE,Vietnamese/Cambodian/Malaysia,"broadway 8278 , NY, US"
41645426,LA NUEVA COLOMBIA BAKERY,Spanish,"31st ave 9107 , NY, US"
50041001,SUNDARBAN RESTAURANT,Bangladeshi,"36th ave 3310 , NY, US"
40386616,ROCCO'S PIZZERIA,Pizza/Italian,"5 avenue 7818 , NY, US"
41645430,LITTLE ZELDA,Caf̩/Coffee/Tea,"franklin avenue 728 , NY, US"
41422150,BAGEL WORLD,Bagels/Pretzels,"5 avenue 339 , NY, US"
41404362,COZZI PIZZA,Pizza,"broadway 584 , NY, US"
50017444,MCFADDEN'S,Irish,"2nd ave 800 , NY, US"
50009215,LEOS RESTAURANT,Mexican,"knickerbocker ave 207 , NY, US"
41272820,SUBWAY,Sandwiches,"1 avenue 1661 , NY, US"
50001100,KENNEDY FRIED CHICKEN & PIZZA,Chicken,"e tremont ave 647 , NY, US"
41700508,ORANGE HUT,American,"broadway 5317 , NY, US"
41337465,CAFE SELECT,Eastern European,"lafayette street 212 , NY, US"
41628667,ACUARIO CAFE,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","west   37 street 306 , NY, US"
50002967,CAFE 86,American,"broadway 2350 , NY, US"
41604442,AMARU,Peruvian,"northern boulevard 8413 , NY, US"
40510286,ROYS REST & SPORTS BAR,"Bottled beverages, including water, sodas, juices, etc.","liberty avenue 11101 , NY, US"
41572685,BROOKLYNS FINEST PIZZA & RESTAURANT,Pizza/Italian,"hylan boulevard 1250 , NY, US"
40790974,BROTHER JIMMY'S BBQ,Barbecue,"2 avenue 1485 , NY, US"
50007871,YUM YUM BANGKOK 3,Thai,"9th ave 658 , NY, US"
50017422,GYRO EXPRESS,Middle Eastern,"parsons blvd 8744 , NY, US"
41431239,QUE SABROSURA RESTAURANT,Spanish,"east  183 street 48 , NY, US"
41629922,SOTTO 13,Italian,"west   13 street 140 , NY, US"
41518879,RED HOUSE ASIAN FUSION,Asian,"union turnpike 19203 , NY, US"
40906490,VIA DELLA PACE,Italian,"east    7 street 48 , NY, US"
40751449,LITTLE ITALY PIZZA,Pizza,"5 avenue 521 , NY, US"
50008216,TIRANA SOCCER CLUB MEMBERS ONLY LLC,Caf̩/Coffee/Tea,"woodward ave 775 , NY, US"
50000203,VINICIO'S RESTAURANT,Spanish,"108th st 4021 , NY, US"
41276545,SUPER POLLO,Peruvian,"5 avenue 4102 , NY, US"
41634862,WORLD YACHT - ST. CHARLES,American,"w 41st st 0 , NY, US"
50044018,DELICIAS TAJADAS BAKERY & RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","bay ridge ave 241 , NY, US"
50014193,O FORT INC,Chinese,"fort hamilton pkwy 5918 , NY, US"
50033405,TAAM TOV,Jewish/Kosher,"w 47th st 41 , NY, US"
40797688,TRIPLE CROWN DINER,American,"jamaica avenue 24827 , NY, US"
41628429,THE COFFEE BEAN & TEA LEAF,Caf̩/Coffee/Tea,"columbus avenue 392 , NY, US"
50000582,DREAM BABY,American,"ave b 162 , NY, US"
50004619,TASTY DUMPLING,Chinese,"mulberry st 42 , NY, US"
41639084,LA CABANA PERUANA,Peruvian,"liberty ave 9304 , NY, US"
41603622,POTBELLY SANDWICH WORKS,Sandwiches/Salads/Mixed Buffet,"rockefeller center 30 , NY, US"
40904721,CRISPO,Italian,"west   14 street 240 , NY, US"
50010952,BILLY'S PIZZA PASTA,Pizza,"bedford ave 1626 , NY, US"
40512520,CHELSEA RISTORANTE,Italian,"8 avenue 108 , NY, US"
41543275,KARAOKE NEMO / TRECE,Mexican,"east   13 street 54 , NY, US"
41497422,FUSHIMI JAPANESE CUISINE,Japanese,"4 avenue 9316 , NY, US"
40385057,CAPPUCCINO CAFE,American,"3 avenue 7721 , NY, US"
40368223,OYSTER BAR,Seafood,"grand central terminal 0 , NY, US"
41381962,JOLLIBEE,Chicken,"roosevelt avenue 6229 , NY, US"
41210953,TAQUERIA TLAXCALLI,Mexican,"starling ave 2103 , NY, US"
41084540,OPEN HOUSE,American,"east houston street 244 , NY, US"
41392820,QUIZNO'S SUBS,Sandwiches,"west 34 street 304 , NY, US"
41208011,"DUNKIN' DONUTS, BASKIN ROBBINS",Donuts,"73 avenue 21522 , NY, US"
50005517,BLACK CRESCENT,Seafood,"clinton st 76 , NY, US"
50004090,CHELSEA DELI AND BAKERY,American,"8th ave 254 , NY, US"
41279817,MOTHER'S,American,"graham avenue 347 , NY, US"
41577662,LEON KITCHEN,Chinese,"fulton street 1610 , NY, US"
41651300,PACO'S,Mexican,"hylan boulevard 1642 , NY, US"
41297769,BROTHERS FISH MARKET,Seafood,"broadway 3845 , NY, US"
40990997,WENDY'S,Hamburgers,"5 avenue 335 , NY, US"
40397962,BEN ASH DELICATESSEN,Delicatessen,"7 avenue 855 , NY, US"
41588415,BIG NEW YORK FRIED CHICKEN,Chicken,"nostrand avenue 1922 , NY, US"
41006744,STARBUCKS,Caf̩/Coffee/Tea,"8 avenue 770 , NY, US"
40720280,THE HISTORIC OLD BERMUDA INN,American,"arthur kill road 2512 , NY, US"
41686709,TAUREAU LA SIRENE,French,"broome street 558 , NY, US"
41150371,FAST & FRESH BURRITO DELI,Mexican,"hoyt street 84 , NY, US"
41428926,CAFE TOMATO,Delicatessen,"fulton street 142 , NY, US"
41077320,BAKED,Bakery,"van brunt street 359 , NY, US"
41225294,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Caribbean,"lawrence street 139 , NY, US"
41210614,KARAHI INDIAN CUISINE,Indian,"christopher street 118 , NY, US"
50034283,CINCO DE MAYO,Mexican,"washington ave 837 , NY, US"
50002875,TACOS CALIFORNIA RESTAURANT,Mexican,"5th ave 4616 , NY, US"
50014821,RED ROBIN GOURMET BURGERS AND BREW,American,"baychester ave 200 , NY, US"
41436340,PANDA HOUSE,Chinese,"nagle avenue 82 , NY, US"
50001458,BASSANOVA RAMEN,Japanese,"mott st 76 , NY, US"
50044007,SHALON RESTAURANT,Spanish,"jerome ave 2734 , NY, US"
40971149,OH TAISHO,Japanese,"st marks place 9 , NY, US"
41127492,ECUA VILLA COFFEE SHOP,Caf̩/Coffee/Tea,"east  170 street 320 , NY, US"
40402029,IZALCO RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","roosevelt avenue 6405 , NY, US"
40392339,ABSOLUTE BAGELS,Bagels/Pretzels,"broadway 2788 , NY, US"
50000248,B.B'S PUB AND GRILL,American,"46th ave 17157 , NY, US"
41360076,DIG INN SEASONAL MARKET,American,"west   55 street 40 , NY, US"
40942756,YIYI RANG,Korean,"northern boulevard 19210 , NY, US"
41116368,CROWN HEIGHTS BUNCH-O-BAGELS AND MORE,Jewish/Kosher,"troy avenue 361 , NY, US"
41585663,Fordham Restaurant,American,"grand concourse 2506 , NY, US"
41564881,PUCCINI RESTAURANT,Italian,"francis lewis boulevard 2014 , NY, US"
41283835,GOTTINO,Italian,"greenwich avenue 52 , NY, US"
41438516,GA HWA KOREAN RESTAURANT,Korean,"northern boulevard 18908 , NY, US"
41600495,MI PEQUENO EL SALVADOR RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","37 avenue 9416 , NY, US"
41356229,INCHEON RESTAURANT,Korean,"depot road 16225 , NY, US"
50018782,CHIKURIN,Japanese,"new dorp ln 365 , NY, US"
50000538,LOS POLLOS RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","46 street 4551 , NY, US"
50032842,RETRO FITNESS,"Juice, Smoothies, Fruit Salads","new york plz 1 , NY, US"
50015892,LA SALA,American,"crescent st 3205 , NY, US"
41234950,CIVIC DELI,American,"worth street 111 , NY, US"
50039715,ERIN MCKERRA'S BAKERY,Bakery,"broome st 248 , NY, US"
50011629,NEW ADVENTURE JUICE BAR,Spanish,"w 231st st 161 , NY, US"
50036518,68 TASTE OF CHINA,Chinese,"fresh meadow ln 6824 , NY, US"
41465581,MOLE,Mexican,"jane street 57 , NY, US"
50000883,BIG APPLE KITCHEN,Chinese,"rockaway ave 489 , NY, US"
41692932,GOURMET 45,American,"3 avenue 721 , NY, US"
41073604,BIG BOOTY BREAD,Bakery,"west   23 street 261 , NY, US"
40425029,VITO'S BAKERY,Bakery,"avenue u 1916 , NY, US"
40395935,MCDONALD'S,Hamburgers,"richmond avenue 1660 , NY, US"
41396476,LEA WINE BAR,American,"park avenue 230 , NY, US"
50005590,FAMOUS SICHUAN,Chinese,"pell st 10 , NY, US"
50015200,XIN YA RESTAURANT,Chinese,"hunts point ave 898 , NY, US"
40396622,MEDITERRANEO,Italian,"2 avenue 1260 , NY, US"
41649506,739 FRANKLIN BAR & LOUNGE,Caribbean,"franklin avenue 739 , NY, US"
41599815,MIKA JAPANESE CUISINE & BAR,Chinese/Japanese,"centre street 150 , NY, US"
41176172,GENNARO RESTAURANT,Italian,"amsterdam avenue 665 , NY, US"
40980061,JOHN'S LUNCHEONETTE,American,"east gun hill road 331 , NY, US"
41118091,LE PAIN QUOTIDIEN,Sandwiches,"east   77 street 252 , NY, US"
40837605,BRICK OVEN PIZZA 33,Pizza,"east   33 street 201 , NY, US"
41695456,PRABHU KIRPA SWEETS AND RESTAURANT,Indian,"rockaway boulevard 13403 , NY, US"
50011319,XI'AN FAMOUS FOODS,Chinese,"main st 4128 , NY, US"
50005115,CRISPY & TASTY,American,"parsons blvd 8769 , NY, US"
50033229,SAL'S PIZZERIA,Pizza/Italian,"flushing ave 5220 , NY, US"
41194762,NEW BEIJING WOK,Chinese,"2 avenue 1324 , NY, US"
41541665,26 SEATS,French,"avenue b 168 , NY, US"
40680764,JOE'S PLACE,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","westchester avenue 1841 , NY, US"
40943082,CHUCK E. CHEESE'S,Pizza,"east gunhill road 1816 , NY, US"
41195033,SARKU JAPAN,Japanese,"queens boulevard 9015 , NY, US"
50038118,EL CAFETAL,Mexican,"astoria blvd 3019 , NY, US"
40883049,DUNKIN' DONUTS,Donuts,"bay street 1145 , NY, US"
41710474,BP SUB EXPRESS,Jewish/Kosher,"13 avenue 5217 , NY, US"
41675589,AJI SUSHI HOUSE,Japanese,"ditmars blvd 3606 , NY, US"
40843357,LIGHTHOUSE CAFE RESTAURANT,American,"3 avenue 7506 , NY, US"
41692108,RUNNER & STONE,American,"3 avenue 285 , NY, US"
41684505,EL MITOTE,Mexican,"columbus avenue 208 , NY, US"
40512610,WHITE CASTLE,Hamburgers,"webster avenue 1831 , NY, US"
40423356,GLASER'S BAKERY,Bakery,"1 avenue 1670 , NY, US"
50044108,CARIBBEAN GRILL,Caribbean,"westchester ave 1294 , NY, US"
41705968,CAFE GALLERY,Mediterranean,"coney island avenue 2801 , NY, US"
41471528,DRAGON STAR,Chinese,"white plains road 4216 , NY, US"
41391676,FOO AN CHINESE FOOD,Chinese,"south conduit avenue 22318 , NY, US"
41628362,GRAND EVERGREEN CHINESE FOOD,Chinese,"rockaway boulevard 13106 , NY, US"
41645581,MATSU JAPANESE CUISINE,Japanese,"columbus avenue 483 , NY, US"
41669919,SALAD SHACK,Salads,"union turnpike 15405 , NY, US"
40395343,FELIX,French,"west broadway 340 , NY, US"
40530791,TAP-A-KEG,American,"broadway 2731 , NY, US"
50015811,AREPAS GRILL,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","broadway 2119 , NY, US"
41559370,DEUM,Asian,"roosevelt avenue 7126 , NY, US"
41569773,LOCAL 138,American,"ludlow street 138 , NY, US"
50002715,KENNEDY  FRIED CHICKEN,American,"white plains rd 4212 , NY, US"
50004269,PERGOLA 36,Mediterranean,"w 28th st 36 , NY, US"
50034852,SIBLING'S POTATO NOODLE,Chinese,"roosevelt ave 13335 , NY, US"
50002740,MAROO,Korean,"3rd ave 1640 , NY, US"
41495091,JOHANA RESTAURANT,Spanish,"dekalb avenue 1386 , NY, US"
50006398,CROXLEYS THE ABBEY,American,"grand st 63 , NY, US"
40364373,ISLE OF CAPRI RESTURANT,Italian,"3 avenue 1028 , NY, US"
50014149,HANCO'S,Sandwiches/Salads/Mixed Buffet,"montague st 147 , NY, US"
41328691,AMERICAN & LATIN CUISINE,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","nostrand avenue 522 , NY, US"
41422914,PICK A BAGEL,Bagels/Pretzels,"2 avenue 1475 , NY, US"
40999727,KGB BAR,American,"east    4 street 85 , NY, US"
41463979,NATURAL TOFU & NOODLES RESTAURANT (BOOK CHANG DONG),Korean,"queens boulevard 4006 , NY, US"
40782042,ALICES,Jewish/Kosher,"avenue u 434 , NY, US"
41317244,FIFTY PACES,American,"east 12 street 413 , NY, US"
50001362,TONE AUTHENTIC GEORGIAN BAKERY & CUISINE,Eastern European,"neptune avenue 265 , NY, US"
41142715,CAFE ZAIYA,Caf̩/Coffee/Tea,"cooper square 69 , NY, US"
41602278,BLUE VELVET LOUNGE,Russian,"avenue u 341 , NY, US"
41389314,TWIN DONUT,Donuts,"west fordham road 3 , NY, US"
41513285,MINNI SHABU SHABU,Chinese/Japanese,"38 avenue 13617 , NY, US"
41687397,GOLDEN IMPERIAL SEAFOOD RESTAURANT,Chinese,"62 street 618 , NY, US"
50014624,DREAM STATION RESTAURANT,Chinese,"white plains rd 3809 , NY, US"
40366487,BRENNAN & CARR,American,"nostrand avenue 3432 , NY, US"
41664870,KUMO SUSHI,Japanese,"court street 512 , NY, US"
41577301,COPPELIA CUBAN LUNCHEONETTE,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","west   14 street 207 , NY, US"
50002769,CHOZA TAQUERIA,Mexican,"madison avenue 66 , NY, US"
41647827,AMBIANCE EXPRESS,Caribbean,"nostrand avenue 2025 , NY, US"
50036317,KENNEDY FRIED CHICKEN & PIZZA,American,"junction blvd 3460 , NY, US"
40947395,EUROPEAN BAR,Caf̩/Coffee/Tea,"fresh pond road 6607 , NY, US"
41625232,SRO,Italian,"bowery 334 , NY, US"
