CAMIS,DBA,CUISINE.DESCRIPTION,full.address,lon,lat
40808118,BAR TABAC,French,"smith street 128 , NY, US",-75.4999,43.00035
41599530,SAM'S RESTAURANT,American,"court street 238 , NY, US",-75.4999,43.00035
50053407,NEW D&B RESTAURANT,Chinese,"westervelt ave 74A , NY, US",-75.4999,43.00035
40383609,REAL MADRID RESTAURANT,Spanish,"forest avenue 2073 , NY, US",-73.755695,44.88297
41434693,SANSIMIAN JAMAICAN WEST INDIAN RESTAURANT,Caribbean,"flatbush avenue 1827 , NY, US",-73.960624,40.6606
50009476,UMAMI BURGER,Hamburgers,"liberty st 225 , NY, US",-74.745837,41.805845
41640818,RED OLIVE,American,"lexington avenue 660 , NY, US",-75.4999,43.00035
41534242,MCMURRAY HALL (SUNY MARITIME),American,"pennyfield avenue 6 , NY, US",-77.487959,43.130666
40398410,WEISS CAFE ROCKEFELLER UNIVERSITY,American,"york avenue 1188 , NY, US",-77.885764,42.871088
41289484,GREEN AND ACKERMAN KOSHER DAIRY RESTAURANT & PIZZA,Jewish/Kosher,"ross street 216 , NY, US",-77.821974,43.220416
41652417,GYRO PLACE,Indian,"mcdonald avenue 473 , NY, US",-73.861807,41.713621
50016046,THE LIGHTHOUSE HEALTHY DELICACIES,"Juice, Smoothies, Fruit Salads","linden blvd 20033 , NY, US",-78.166161,42.875284
41073985,HEARTLAND BREWERY,American,"5 avenue 350 , NY, US",-77.735104,42.895631
50017467,MIS TIERRAS COLOMBIANAS,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","roosevelt ave 5408 , NY, US",-73.591908,40.682896
50052600,AZUKI JAPANESE,Other,"irving pl 29 , NY, US",-73.859445,41.042134
41701897,MY KITCHEN,Continental,"metropolitan avenue 10617 , NY, US",-75.4999,43.00035
41290515,MI BELLA DAMA RESTAURANT,Spanish,"knickerbocker avenue 296 , NY, US",-75.4999,43.00035
40423481,KINGSTON TROPICAL BAKERY,Caribbean,"white plains road 4000 , NY, US",-73.750277,41.030128
50049572,ASIAN 59,Chinese/Japanese,"e 59th st 207 , NY, US",-78.316538,42.237693
41520477,SABOR A MEXICO TAQUERIA,Mexican,"1 avenue 160 , NY, US",-77.735104,42.895631
41092078,AQUAVIT,Scandinavian,"east   55 street 65 , NY, US",-75.4999,43.00035
40404080,LAZARD FRERES,American,"rockefeller plaza 30 , NY, US",-75.4999,43.00035
50012224,APPLEBEE'S,American,"gateway dr 448 , NY, US",-75.4999,43.00035
41671159,OXFORD CAFE,American,"east   52 street 140 , NY, US",-75.4999,43.00035
41636255,MAJLIS LOUNGE & CAFE,Indian,"union turnpike 24805 , NY, US",-75.4999,43.00035
50039294,CHEF QUANG GUYANESE CHINESE EXPRESS,Caribbean,"atlantic ave 3360 , NY, US",-73.252586,40.736356
41061016,PEARL RESTAURANT,Chinese,"liberty avenue 13103 , NY, US",-74.744582,41.805541
50046259,ESSENTIAL 608,Caribbean,"e fordham rd 608 , NY, US",-73.897067,40.862534
40809529,LA SORRENTINA PIZZERIA RESTAURANT,Italian,"11 avenue 6510 , NY, US",-77.735104,42.895631
41591831,LA OAXAQUENA RESTAURANT,Mexican,"amsterdam avenue 1969 , NY, US",-73.884377,42.997948
50045596,NEW CHINA,Chinese,"mosholu ave 5690 , NY, US",-75.4999,43.00035
50033454,TROPICAL PARADISE RESTAURANT AND BAKERY,Caribbean,"utica ave 888 , NY, US",-75.222321,43.120726
41222437,CUPCAKE CAFE CASA,Caf̩/Coffee/Tea,"9 avenue 545 , NY, US",-77.735104,42.895631
41094546,PEOPLES CHOICE KITCHEN,Caribbean,"8 avenue 2733 , NY, US",-77.735104,42.895631
40373889,FELIDIA RESTAURANT,Italian,"east   58 street 243 , NY, US",-75.4999,43.00035
41357926,EL PASO TAQUERIA,Mexican,"east   97 street 64 , NY, US",-75.4999,43.00035
41302121,BARNES & NOBLE CAFE,Caf̩/Coffee/Tea,"warren street 97 , NY, US",-74.981651,42.858196
41684638,DIRTY BIRD TO GO,Chicken,"chambers street 155 , NY, US",-76.956732,42.256502
41379821,MCDONALD'S,Hamburgers,"eastchester road 1820 , NY, US",-73.812177,40.956098
41569380,TAQUERIA GUADALUPE,Mexican,"lexington avenue 1743 , NY, US",-75.4999,43.00035
41127083,Market Cafe,American,"lexington avenue 425 , NY, US",-75.4999,43.00035
50035409,PRIMA SARABELLA BAR RESTAURANT,Italian,"greenpoint ave 4108 , NY, US",-73.961598,40.730179
41716627,UPRIGHT,American,"hudson street 547 , NY, US",-73.769358,42.243939
41511463,GERBASI RISTORANTE,Italian,"arthur avenue 2389 , NY, US",-75.4999,43.00035
50036496,TAQUERIA ACATLAN,Mexican,"irving ave 298 , NY, US",-73.859445,41.042134
41590133,CAFE DEL SOL,Delicatessen,"7 avenue 480 , NY, US",-77.735104,42.895631
41104783,BUDEPEST CAFE,Eastern European,"2 avenue 1631 , NY, US",-77.735104,42.895631
40735858,ACQUA SANTA,Italian,"driggs avenue 556 , NY, US",-75.4999,43.00035
50053584,DON NENE RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","morris park ave 677 , NY, US",-73.855468,40.848458
40797031,PICANTERIA EL AUSTRO,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","83 street 3708 , NY, US",-75.4999,43.00035
40871961,TOTA'S,Caribbean,"utica avenue 244 , NY, US",-75.222321,43.120726
50001203,AKI SUSHI,Japanese,"e 52nd street 212 , NY, US",-75.4999,43.00035
41644123,MUSCLE MAKER GRILL,American,"arthur kill road 4916 , NY, US",-73.396179,43.030296
41590317,THAI ROCK,Thai,"beach   92 street 375 , NY, US",-75.4999,43.00035
40908641,MINETTA LANE THEATER,American,"minetta lane 18 , NY, US",-73.959734,41.332125
41652560,$1 PIZZA $2 BEER,Pizza,"macdougal street 95 , NY, US",-76.880313,42.819167
41654599,86 BAKERY,Chinese,"18 avenue 8512 , NY, US",-77.735104,42.895631
41634845,ATOYAMA SUSHI,Asian,"west   36 street 11 , NY, US",-75.4999,43.00035
50046319,PACO'S TACOS PLUS,Mexican,"86th st 1504 , NY, US",-79.348265,42.258882
41466567,LA CERVECERIA,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","2 avenue 65 , NY, US",-77.655645,42.921748
41118227,QUIZNO'S SUBS,Sandwiches,"northern boulevard 21510 , NY, US",-77.66138,42.346181
41508168,WING WAH RESTAURANT,Chinese,"metropolitan avenue 9812 , NY, US",-75.4999,43.00035
41597047,Z-TWO DINER & LOUNGE,American,"veterans road west 2925 , NY, US",-75.4999,43.00035
41070330,LENNY'S PIZZERIA,Pizza/Italian,"crossbay boulevard 16402 , NY, US",-75.4999,43.00035
40390185,TRONO DE MEXICO,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","69 street 3819 , NY, US",-75.4999,43.00035
41291292,DUO TIAN BAKERY,Bakery,"eldridge street 118 , NY, US",-75.4999,43.00035
50000125,WOODHAVEN MANOR CATERS AND BANQUET,American,"jamaica ave 9601 , NY, US",-73.805689,40.691492
41368950,GOTHAM PIZZA,Pizza,"9 avenue 144 , NY, US",-77.731494,43.296924
40396598,ROCKAWAY BEACH INN,American,"rockaway beach boulevard 8822 , NY, US",-75.4999,43.00035
50005688,FUJIYAMA JAPANESE FUSION,Japanese,"13th ave 7307 , NY, US",-75.397914,43.049147
41552183,NEW TERRITORY CAKE SHOP,Bakery,"catherine street 77 , NY, US",-77.053482,42.135951
40646209,LEON BAKERY,Bakery,"9 avenue 695 , NY, US",-77.735104,42.895631
40402397,THE RIVER CLUB,American,"east   52 street 447 , NY, US",-75.4999,43.00035
40730115,JOLLY TINKER,American,"webester avenue 2875 , NY, US",-78.78992,42.781955
41629881,BAREBURGER,American,"8 avenue 153 , NY, US",-77.487439,43.117978
41039229,CROWN FRIED CHICKEN,Chicken,"springfield boulevard 10302 , NY, US",-73.755926,40.664542
50017286,MR. POLLO #1,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","bell blvd 4220 , NY, US",-74.65758,42.864244
41464260,ARIEL'S CAFE,American,"queens boulevard 9717 , NY, US",-78.210376,43.280191
41299074,THE DUB PIE SHOP,Australian,"prospect park west 211 , NY, US",-73.740115,42.618618
41348778,EASTVILLE COMEDY CLUB,American,"east    4 street 85 , NY, US",-75.4999,43.00035
41333637,DOWNS RIVER RESTAURANT,Caribbean,"stanley avenue 517 , NY, US",-77.877939,42.726751
41645448,BOCBOC CHICKEN DELICIOUS,Asian,"queens boulevard 9015 , NY, US",-78.210376,43.280191
50003299,LEO'S PIZZA,Pizza,"36th ave 31-01 , NY, US",-75.4999,43.00035
50001541,TONY & VAL'S,Pizza,"broadway 6201 , NY, US",-75.4999,43.00035
50000456,AA JING,Asian,"9th ave 689 , NY, US",-74.844096,43.064749
41691378,CHIPOTLE MEXICAN GRILL,Mexican,"2 avenue 604 , NY, US",-77.735104,42.895631
