CAMIS,DBA,CUISINE.DESCRIPTION,full.address,lon,lat
41073203,DOUGLASTON DELICATESSEN,Delicatessen,"douglaston parkway 4423 , NY, US",-73.74464019999999,40.765965
50006614,HUERTAS,Spanish,"1st ave 107 , NY, US",-73.9862259,40.7268485
41569764,BACCHUS,French,"atlantic avenue 409411 , NY, US",-73.90865889999999,40.67628310000001
41657018,SUN BAKERY,Bakery,"essex street 83 , NY, US",-73.9888733,40.7182766
40559633,GOTHAM CAFE (INSIDE HOLIDAY INN),American,"west   57 street 440 , NY, US",-73.9874155,40.7682663
40567189,USULUTECO RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","5 avenue 4017 , NY, US",-73.96361379999999,40.7771891
41673635,TASTY CHICKEN,American,"broadway 1322 , NY, US",-73.9878562,40.7504363
40534912,BROOKLYN MOON CAFE,Caribbean,"fulton street 745 , NY, US",-73.974836,40.6866522
40380996,SMILING PIZZA,Pizza,"7 avenue 323 , NY, US",-73.993348,40.7472324
41692582,THE KING,Fruits/Vegetables,"union street 3436 , NY, US",-73.8280841,40.766013
50001655,EL RICO TINTO BAKERY,Spanish,"37th avenue 76-07 , NY, US",-73.8893595,40.7492347
50011521,TCR CAFE,American,"netherland ave 2600 , NY, US",-73.9145678,40.8786283
41049219,KENNEDY CHICKEN AND PIZZA,Chicken,"intervale avenue 941 , NY, US",-73.89721709999999,40.82126909999999
41330647,MISS FAVELA,Brazilian,"south  5 street 57 , NY, US",-73.9661799,40.7122496
41273383,LA BELLA PIZZERIA,Pizza/Italian,"20 avenue 8509 , NY, US",NA,NA
50015746,PUNTO CIBAENO RESTAURANT,Spanish,"89th ave 16405 , NY, US",NA,NA
41533145,SAL'S PIZZERIA,Pizza,"wyckoff avenue 119 , NY, US",NA,NA
41368920,HERMES BILLIARDS & CAFE,American,"jamaica avenue 10214 , NY, US",NA,NA
40859014,CEBU,American,"3 avenue 8801 , NY, US",NA,NA
50004854,A&E Networks,Caf̩/Coffee/Tea,"e 45th st 235 , NY, US",NA,NA
41700634,NOODLE BAR,Asian,"carmine street 26 , NY, US",NA,NA
41155726,LIBERATO RESTAURANT,Spanish,"west burnside avenue 10 , NY, US",NA,NA
50009628,C BAR & LOUNGE,Caribbean,"lefferts blvd 8722 , NY, US",NA,NA
41465278,CHANG XING RESTAURANT,Chinese,"pennsylvania avenue 837 , NY, US",NA,NA
41492690,KENNEDY FRIED CHICKEN,American,"fulton street 2788 , NY, US",NA,NA
40887208,ALMA,Mexican,"columbia street 187 , NY, US",NA,NA
50033000,LAS MARGARITAS RESTAURANT,Mexican,"3rd ave 7206 , NY, US",NA,NA
41236517,CAFE AMRITA,American,"west  110 street 301 , NY, US",NA,NA
41346769,BED-STUY FISH FRY,Soul Food,"halsey street 801 , NY, US",NA,NA
41145185,SZECHUAN GARDEN,Chinese,"creston avenue 2428 , NY, US",NA,NA
41644679,PIONEER RESTAURANT,Chinese,"west  231 street 223 , NY, US",NA,NA
41245538,AURORA SOHO,Italian,"broome street 510 , NY, US",NA,NA
41416119,TASTY'S DINER,Greek,"ditmars boulevard 3304 , NY, US",NA,NA
41085439,INES' BAKERY,Bakery,"4 avenue 948 , NY, US",NA,NA
40661290,AL DI LA,Italian,"5 avenue 248 , NY, US",NA,NA
50017418,CARITA FELIZ,Other,"stockholm st 218 , NY, US",NA,NA
41697378,FRESH TORTILLAS GRILL,Tex-Mex,"metropolitan avenue 11819 , NY, US",NA,NA
50036720,PATHOS,Mediterranean,"1st ave 932 , NY, US",NA,NA
50001235,ITALIAN PASSION CAFE & PIZZA RESTAURANT,Pizza/Italian,"franklin avenue 842 , NY, US",NA,NA
50043259,BROOKLYN JUICE BAR,"Juice, Smoothies, Fruit Salads","van siclen ave 1540 , NY, US",NA,NA
41086188,VAN DAM DELI,Spanish,"van dam street 5250 , NY, US",NA,NA
50033264,SPICE SAIGON,Thai,"1st ave 1237 , NY, US",NA,NA
50004883,BREAD BROTHERS BAGEL CAFE,Bagels/Pretzels,"bushwick ave 220 , NY, US",NA,NA
41701180,LUNETTA PIZZERIA,Pizza/Italian,"first avenue 1162 , NY, US",NA,NA
41702610,THE STRAND SMOKE HOUSE,Barbecue,"broadway 2527 , NY, US",NA,NA
41485091,BRAVO PIZZA,Pizza,"east   14 street 115 , NY, US",NA,NA
40394916,LAS ISLA RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","broadway 293 , NY, US",NA,NA
50000068,LADY M BRYANT PARK,Bakery,"w 40th st 36 , NY, US",NA,NA
50014192,LA POTENCIA RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","jerome ave 1898 , NY, US",NA,NA
50002320,LA REINA DEL SUR RESTAURANT & BAR,Mexican,"37th avenue 99-11 , NY, US",NA,NA
41672156,WILLIAMSBURG PIZZA,Pizza/Italian,"union avenue 265 , NY, US",NA,NA
40559892,QUALITY MEATS,Steak,"west   58 street 57 , NY, US",NA,NA
41535368,PASTAFINA,Pizza/Italian,"lexington avenue 876 , NY, US",NA,NA
41519587,BLIND BARBER,American,"east 10 street 339 , NY, US",NA,NA
41693802,PARIS BAGUETTE,French,"northern boulevard 21020 , NY, US",NA,NA
41100434,HIMALAYAN YAK RESTAURANT,Indian,"roosevelt avenue 7220 , NY, US",NA,NA
41115447,UNO PIZZERIA AND GRILL,Pizza,"4 avenue 9201 , NY, US",NA,NA
41556263,HUDSON BAGELS,Bagels/Pretzels,"hudson street 502 , NY, US",NA,NA
41656924,TENZAN,Japanese,"2 avenue 988990 , NY, US",NA,NA
50005024,HIBACHI ON THE RUN,Asian,"clarkson ave 1143 , NY, US",NA,NA
50010785,LA TARTE FLAMBEE,French,"e 33rd st 153 , NY, US",NA,NA
41152996,LUIGIS PIZZA,Pizza,"8 avenue 936 , NY, US",NA,NA
50001732,KING WOK,Chinese,"francis lewis blvd 25-67 , NY, US",NA,NA
50006521,CHEN'S KITCHEN,Chinese,"e 167th st 971 , NY, US",NA,NA
50008857,CROWN FRIED CHICKEN,Chicken,"nostrand ave 1263 , NY, US",NA,NA
41251199,PARADISE BAR,American,"woodward avenue 678 , NY, US",NA,NA
50039059,BROKEN SPOKE ROTISSERIE,American,"3rd ave 439 , NY, US",NA,NA
50005299,ACEY DUCEY'S,American,"metropolitan ave 10117 , NY, US",NA,NA
40727609,THE FULL SHILLING,Irish,"pearl street 160 , NY, US",NA,NA
50005926,EL BUEN GUSTO RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","4th ave 5201 , NY, US",NA,NA
41641642,TASTY HAND-PULLED NOODLES,Chinese,"doyers street 1 , NY, US",NA,NA
41468766,CANTEEN,American,"4 avenue 57 , NY, US",NA,NA
40714228,NEW SOLDIERS RESTAURANT,Caribbean,"nostrand avenue 1278 , NY, US",NA,NA
41719674,EL CACIQUE BAR RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","atlantic avenue 3294 , NY, US",NA,NA
41587826,CASCABEL TAQUERIA,Mexican,"broadway 2799 , NY, US",NA,NA
41470527,HEAVEN'S HOT BAGEL,Bagels/Pretzels,"east houston street 283 , NY, US",NA,NA
41638961,765 FOOD MARKET,Delicatessen,"2 avenue 765 , NY, US",NA,NA
50002424,CAFFE AZZURRI D'ITALIA,Caf̩/Coffee/Tea,"buhre ave 3040 , NY, US",NA,NA
50039079,FARINELLA,Pizza,"amsterdam ave 267 , NY, US",NA,NA
40878687,BARCLAY'S CAPITAL,American,"7 avenue 745 , NY, US",NA,NA
41708947,SECRETS GENTLEMAN'S CLUB,American,"queens boulevard 4914 , NY, US",NA,NA
41348434,BINGO DELI,American,"pearl street 77 , NY, US",NA,NA
40368552,SAMMY'S STEAKHOUSE,Steak,"christie st. 155157 , NY, US",NA,NA
50011947,Mado Japanese Cuisine,Japanese,"queens blvd 9516 , NY, US",NA,NA
41004797,LINKS CLUB,American,"east   62 street 36 , NY, US",NA,NA
41677470,ESPLANADE STATEN ISLAND,American,"richmond avenue 1415 , NY, US",NA,NA
41597385,JUGOS Y TACOS,Mexican,"woodside avenue 7804 , NY, US",NA,NA
40590237,CRANBERRY'S,American,"henry street 48 , NY, US",NA,NA
41405150,TONY ROMA'S,Steak,"26 avenue 21035 , NY, US",NA,NA
40654318,BATEAUX NEW YORK,American,"west 23 street - chelsea pier 62 , NY, US",NA,NA
41702563,EL CONDE NUEVO BAR & RESTAURANT,Spanish,"broadway 4139 , NY, US",NA,NA
50018727,K ONE BUFFET,Chinese,"flatlands ave 5614 , NY, US",NA,NA
50018759,PUNTA CANA RESTAURANT,Spanish,"5th ave 50 , NY, US",NA,NA
41278303,A SAN FUZHOU RESTAURANT,Chinese,"eldridge street 7 , NY, US",NA,NA
40763888,CHEF HO'S,Chinese,"2 avenue 1720 , NY, US",NA,NA
50038669,ASIA EXPRESS,Chinese,"2nd ave 493 , NY, US",NA,NA
41422279,LA COLOMBIANITA BAKERY 2,Bakery,"northern boulevard 8326 , NY, US",NA,NA
41253406,PUNJABI DELI & RESTAURANT,Indian,"46 avenue 16020 , NY, US",NA,NA
50004651,INFIRMARY,American,"2nd ave 1720 , NY, US",NA,NA
50012159,ROCKWELL'S,Delicatessen,"broad st 105 , NY, US",NA,NA
50013507,IVORY DOS,Hamburgers,"w 145th st 201 , NY, US",NA,NA
40380648,PORTO BELLO RESTAURANT,Italian,"thompson street 208 , NY, US",NA,NA
50034040,TANOSHI TEI,Japanese,"york ave 1374 , NY, US",NA,NA
50017154,HAAT BAZAAR,Bangladeshi,"73rd st 3711 , NY, US",NA,NA
