CAMIS,DBA,CUISINE.DESCRIPTION,full.address,lon,lat
41631223,THE SHANTY,American,"richardson street 79 , NY, US",-75.4999,43.00035
40933506,GANNI'S PIZZERIA,Pizza/Italian,"myrtle avenue 652 , NY, US",-75.063154,42.459264
40970116,BAMBOO GARDEN CHINESE RESTAURANT,Chinese,"liberty avenue 14610 , NY, US",-74.744582,41.805541
41087782,AROME CAFE 32,American,"west   32 street 138 , NY, US",-75.4999,43.00035
41720552,"DUNKIN' DONUTS, BASKIN ROBBINS, POPEYES LOUISIANA KITCHEN",American,"rockway parkway 1375 , NY, US",-75.4999,43.00035
41693382,FAIR FOLKS,Caf̩/Coffee/Tea,"west houston street 96 , NY, US",-75.4999,43.00035
50043794,T-SWIRL CREPE,Japanese,"mott st 2 , NY, US",-74.461063,44.218706
41058206,BARCADE,American,"union avenue 388 , NY, US",-75.4999,43.00035
40529979,ROMEO'S PIZZERIA,Pizza/Italian,"union turnpike 18808 , NY, US",-75.4999,43.00035
41653692,EL CASTILLO RESTAURANT,Spanish,"liberty avenue 1218 , NY, US",-74.744582,41.805541
50018447,KAFU RESTAURANT,Creole,"nostrand ave 1551 , NY, US",-75.4999,43.00035
41318823,COLD STONE CREAMERY,"Ice Cream, Gelato, Yogurt, Ices","crossbay boulevard 15714 , NY, US",-75.4999,43.00035
50002376,TAVERNA KYCLADES,Greek,"1st ave 228 , NY, US",-75.063395,43.029599
41241023,234 CHINA CITY,Chinese,"kings highway 234 , NY, US",-75.4999,43.00035
40718557,DELMONICOS,Italian,"beaver street 56 , NY, US",-75.4999,43.00035
41636080,CHARLIES BAR & KITCHEN,American,"lincoln avenue 112 , NY, US",-73.996838,41.949438
41387113,SMOKE BBQ PIT,Barbecue,"merrick boulevard 12921 , NY, US",-73.4501,44.8884
41714316,CHEUNG HING KITCHEN,Chinese,"merrick boulevard 11460 , NY, US",-73.8059,40.6913
41679636,CHECKERS,American,"245 street 13933 , NY, US",-75.4999,43.00035
41657465,NAN BEI HO,Chinese,"48 avenue 21222 , NY, US",-77.735104,42.895631
41600011,CAFE ON 5TH/STERLING AFFAIR,American,"5 avenue 1216 , NY, US",-77.735104,42.895631
50006962,EMPIRE SZECHUAN GARDEN,Chinese,"46th st 4342 , NY, US",-78.151353,42.38592
50016931,MCDONALD'S,Hamburgers,"kings plz 5407 , NY, US",-73.754707,40.811355
41591488,ACQUA RESTAURANT,Italian,"peck slip 2123 , NY, US",-78.15279,42.55645
50002299,LOCK YARD,American,"5th ave 9221 , NY, US",-77.746404,42.912227
41611705,TRIPLE CROWN CAFE,American,"rockaway boulevard 11000 , NY, US",-75.4999,43.00035
41630104,LUCKY CHINESE RESTAURANT,Chinese,"69 street 5008 , NY, US",-75.4999,43.00035
41359110,HOME RESTAURANT,American,"cornelia street 20 , NY, US",-76.076444,44.239956
41659173,B.F. NATIONAL BAKERY,Bakery,"jerome avenue 3492 , NY, US",-75.4999,43.00035
41214446,MCDONALD'S,Hamburgers,"3 avenue 1997 , NY, US",-77.735104,42.895631
41648248,CANDLE CAFE WEST,Vegetarian,"broadway 2427 , NY, US",-75.4999,43.00035
50033080,MALAYSIAN KITCHEN,Asian,"s end ave 21 , NY, US",-76.543064,43.450176
40745870,MARATHON FOOD SHOP,Delicatessen,"northen blvd 24919 , NY, US",-76.540498,43.355901
50002576,GOOD TASTE 88,Chinese,"52nd street 773 , NY, US",-75.4999,43.00035
41642694,NUMERO 28,Italian,"1 avenue 1431 , NY, US",-77.735104,42.895631
50018504,MERRY LAND BUFFET,Chinese,"e 163rd st 505 , NY, US",-79.412233,42.155693
50038557,NEW BUTTERFLY CHINESE RESTAURANT,Chinese,"mott ave 2152 , NY, US",-74.461562,44.21148
50032905,PUNDA TIBETAN RESTAURANT,Asian,"47th ave 3935 , NY, US",-75.532344,43.523105
41636680,FUNNY B.B.Q. BAR,Chinese,"54 street 818 , NY, US",-75.4999,43.00035
40812630,THE LOEB BOATHOUSE CENTRAL PARK,American,"e 72st central pk drive north 0 , NY, US",-76.147306,43.276447
40837500,OLD CASTLE PUB & RESTAURANT,American,"west   54 street 160 , NY, US",-75.4999,43.00035
41670323,HOMERS TASTE RESTAURANT,Chinese,"college point boulevard 4108 , NY, US",-73.843641,40.784369
40819315,JANE,American,"west houston street 100 , NY, US",-75.4999,43.00035
40394053,FLIGHT 151,American,"8 avenue 151 , NY, US",-77.82016,43.04851
41664769,STARBUCKS,Caf̩/Coffee/Tea,"montague street 134 , NY, US",-72.03063,41.002653
41042104,PATES PLUS BAKERY,Bakery,"springfield boulevard 9715 , NY, US",-73.755926,40.664542
41488338,388 CAFE & DELI,Chinese,"eldridge street 1-3 , NY, US",-75.4999,43.00035
41650503,DIZZY'S ON 5TH,American,"5 avenue 230 , NY, US",-77.855342,43.347856
41068576,PROMESA CAFETERIA,American,"clay avenue 1776 , NY, US",-73.396179,43.030296
50013242,Snack Boss,American,"rodmans nck 1 , NY, US",-75.4999,43.00035
41286440,RADEGAST HALL & BIERGARTEN,German,"north 3 street 113 , NY, US",-73.84601,43.56098
40941320,TAAM MEVORACH,Jewish/Kosher,"avenue u 815 , NY, US",-77.735104,42.895631
41623877,CROWN FRIED CHICKEN,Chicken,"nostrand avenue 642 , NY, US",-75.4999,43.00035
