"CAMIS","DBA","CUISINE.DESCRIPTION","full.address","lon","lat"
41247560,"THE PLACE BAR & LOUNGE","American","norman avenue 269 , NY, US",-73.9421954,40.7278843
41649255,"NEW SUPER CHINA PAGODA","Chinese","30th ave 4720 , NY, US",-73.9088949,40.7608591
41698238,"MCDONALD'S","American","conner st 3550 , NY, US",-73.8269214,40.8856258
41712653,"THE GRAND BAR AND GRILL","American","grand street 647 , NY, US",-73.9776201,40.7132883
50006741,"GRACE CAFE","American","8th ave 572 , NY, US",-73.9912422,40.7547705
40369158,"JODY'S CLUB","American","forest avenue 372 , NY, US",-74.1018183,40.6308214
41194089,"FLATBUSH FARMS","American","st marks avenue 7678 , NY, US",-73.9585526,40.6764563
50043946,"TRUBURGER","American","crossbay blvd 15003 , NY, US",-73.8424233,40.669717
41478014,"SUBWAY","Sandwiches","boston road 1490 , NY, US",-73.893934,40.834386
41705768,"JUKE BOX JUICE & SALAD","Salads","adam clayton powell jr boulevard 1943 , NY, US",-73.9517149,40.8038744
41709719,"MARKET PLACE (CENTERPLATE)","American","west   34 street 655 , NY, US",-74.0025907,40.757777
41107325,"BUENOS AIRES TANGO","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","queens boulevard 11108 , NY, US",-73.8376327,40.7181742
41014902,"MAS (farmhouse)","American","downing street 39 , NY, US",-74.0039219,40.7293287
40960529,"EL SOL MIGUELENO RESTAURANT","Tex-Mex","5 avenue 5603 , NY, US",-73.9630024,40.7780229
50011998,"MICHAEL'S MEATBALLS & MARTINIS","Italian","hylan blvd 1816 , NY, US",-74.0935987,40.5846666
50043409,"SHORE ROAD DELI","American","3rd ave 9316 , NY, US",-73.9906154,40.7286292
50009500,"HIGH LINE HOTEL","American","10th ave 180 , NY, US",-74.0049928,40.745962
50009170,"BURGER KING","Hamburgers","roosevelt ave 10319 , NY, US",-73.8620789,40.7499533
50018152,"STAGE 3","Korean","w 32nd st 23 , NY, US",-73.9866547,40.7478918
50018201,"Ginza Sushi","Japanese","e 35th st 251 , NY, US",-73.9756701,40.7456516
50034573,"TAQUERIA EL PATRON MEXICAN GRILL","Mexican","lincoln rd 51 , NY, US",-73.9613375,40.6609508
41395716,"EMPORIO","Italian","mott street 231 , NY, US",-73.9952651,40.722591
41614161,"AMY RUTH'S RESTAURANT","Soul Food","west  116 street 113 , NY, US",-73.950318,40.8025045
41548181,"YEDON","Korean","northern boulevard 20911 , NY, US",-73.774214,40.7593343
41676490,"AOYU SUSHI","Japanese","johnson avenue 3532 , NY, US",-73.9095025,40.8861885
40878403,"SOY","Japanese","suffolk street 102 , NY, US",-73.9860601,40.7185295
41459443,"T & T RESTAURANT","Chinese","kissena boulevard 4611 , NY, US",-73.8185807,40.7505452
41585136,"DELMY FOOD","Spanish","east  149 street 456 , NY, US",-73.9153094,40.8148756
40829150,"SOCIETY OF ILLUSTRATORS","American","east   63 street 128 , NY, US",-73.9669145,40.7647004
50014030,"MATCHABAR","Caf̩/Coffee/Tea","wythe ave 93 , NY, US",-73.9583226,40.7212577
50046231,"PAPA JOHN'S PIZZA","Other","white plains rd 2733 , NY, US",-73.8676131,40.8663664
41542863,"LUCKY RESTAURANT","Chinese","east  182 street 653 , NY, US",-73.8882428,40.8513959
41637061,"YN","Italian","mott street 227 , NY, US",-73.9953797,40.722505
50036530,"CAFFE VITA","Caf̩/Coffee/Tea","ludlow st 124 , NY, US",-73.9884113,40.7196523
41103814,"FIG & OLIVE","Mediterranean","lexington avenue 808 , NY, US",-73.9669029,40.7644006
41435077,"DUNKIN' DONUTS","Donuts","lefferts blvd 8155 , NY, US",-73.8307007,40.7079022
