"CAMIS","DBA","CUISINE.DESCRIPTION","full.address","lon","lat"
41548204,"GOLDEN CREPES","French","west   15 street 262A , NY, US",-74.0018482,40.7401296
50016504,"Bonmi","Sandwiches/Salads/Mixed Buffet","w 62nd st 150 , NY, US",-73.984777,40.7716809
50011222,"ABACKY POTLUCK","Asian","w 26th st 253 , NY, US",-73.9965971,40.7472247
40748086,"STARBUCKS","Caf̩/Coffee/Tea","grove street 72 , NY, US",-74.0027415,40.7331729
41522735,"COURT STREET GROCERS","Delicatessen","court street 485 , NY, US",NA,NA
41020745,"L'YBANE BAR RESTAURANT","Moroccan","8 avenue 709 , NY, US",NA,NA
50007895,"AMINA THAI","Thai","hillside ave 16922 , NY, US",NA,NA
50039416,"BANGKOK B.A.R.","Thai","park ave 230 , NY, US",NA,NA
50002327,"SUBWAY","Sandwiches","college point blvd 15-18 , NY, US",NA,NA
41372269,"ZEFF'S PIZZERIA","Pizza/Italian","south    3 street 312 , NY, US",NA,NA
40373937,"SHUN LEE","Chinese","west   65 street 37 , NY, US",NA,NA
50009089,"NEW DRAGON RESTAURANT","Chinese","n oxford st 47 , NY, US",NA,NA
41596925,"US FRIED CHICKEN & HOME MADE BISCUIT","Chicken","fulton street 2618 , NY, US",NA,NA
41268058,"MATRYOSHKA (SPA 88)","Russian","fulton street 88 , NY, US",NA,NA
41209002,"TRATTORIA 35","Italian","35 avenue 21315 , NY, US",NA,NA
41392510,"MARIO'S CHICKEN","American","mott avenue 1813 , NY, US",NA,NA
41394023,"THE GRIFFIN","American","gansevoort street 50 , NY, US",NA,NA
41394405,"LITTLE ITALY PIZZA","Pizza","park place 11 , NY, US",NA,NA
41715751,"SANTO DOMINGO BAKERY","Bakery","clinton street 93 , NY, US",NA,NA
50034130,"SOO JAMAICA","Caribbean","white plains rd 4143 , NY, US",NA,NA
41515853,"BISOUX MARKET/WORLD BEAN","American","laguardia airport 0 , NY, US",NA,NA
50008149,"NYAM & JAM RESTAURANT","Caribbean","bronxwood ave 3827 , NY, US",NA,NA
50033506,"AL SEABU","Asian","5th ave 383 , NY, US",NA,NA
41629513,"PRET A MANGER","American","hudson street 350 , NY, US",NA,NA
41678997,"CHIPOTLE MEXICAN GRILL","Tex-Mex","greenwich street 275 , NY, US",NA,NA
50001266,"ENTHAICE THAI KITCHEN","Thai","31 avenue 33-20 , NY, US",NA,NA
