CAMIS,DBA,CUISINE.DESCRIPTION,full.address,lon,lat
41458353,CORNER CAFE & BAKERY,American,"madison avenue 1246 , NY, US",-73.9574042,40.7832449
41609062,PARADISE CAFE NY RESTAURANT,Spanish,"ogden avenue 1021 , NY, US",-73.92926800000001,40.8335814
50008086,NO. 1 YUMMY TACO,Chinese,"rockaway blvd 14615 , NY, US",-73.79128949999999,40.6735206
50037975,"DUNKIN' DONUTS, BASKIN ROBBINS",Donuts,"woodside ave 5801 , NY, US",-73.9061092,40.745777
50015516,TRUFFA WINE ROOM,Pizza,"riverdale ave 3535 , NY, US",-73.9072858,40.8862056
50053883,MCDONALD'S,American,"55th rd 5960 , NY, US",-73.9066965,40.7263011
41671844,LITTLE CAESARS,Pizza,"3 avenue 1936 , NY, US",-73.944558,40.792205
50003374,SAMUDRA INDIAN RESTAURANT,Indian,"37th ave 7518 , NY, US",-73.8906109,40.7489201
41269825,EL QUINTO PINO,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","west   24 street 401 , NY, US",-74.0010854,40.7474515
50040952,FRESH WHITE SWAN BAKERY,Bakery,"e broadway 88 , NY, US",-73.9942872,40.7139381
41147913,SUBWAY,Sandwiches,"3 avenue 1885 , NY, US",-73.9452064,40.7902857
41722182,BLANK CAFE,Caf̩/Coffee/Tea,"broadway 25 , NY, US",-74.0139724,40.7057809
41383605,MEDITTERANEAN GRILL,American,"rockaway boulevard 15608 , NY, US",-73.78012489999999,40.6663343
40402102,TIMMY'S DELI,American,"roosevelt avenue 11102 , NY, US",-73.855497,40.751408
50048069,THE COOP,American,"4th ave 9504 , NY, US",-74.0314641,40.6159721
40934264,GRAND CAFE,American,"park avenue 230 , NY, US",-73.97618260000002,40.7543721
50015637,LITTLE MO,Vietnamese/Cambodian/Malaysia,"myrtle ave 1158 , NY, US",-73.93367239999999,40.6969299
41627201,FANCY GIRL CATERING,Armenian,"west   13 street 415 , NY, US",-74.0065984,40.7408161
50004071,SECRETS,Caribbean,"nostrand ave 724 , NY, US",-73.9504145,40.6739193
50042718,SEABREEZE FOOD,Caribbean,"ralph ave 1562 , NY, US",-73.91953199999999,40.6389267
