CAMIS,DBA,CUISINE.DESCRIPTION,full.address,lon,lat
41506131,IL PUNTO RISTORANTE,Italian,"9 avenue 507509 , NY, US",-73.9847724,40.76921230000001
40984001,LABADEE MANOIR,Caribbean,"jamaica avenue 2071315 , NY, US",-73.8041576,40.7022091
50016854,BOCCA BLISS,American,"3rd ave 725 , NY, US",-73.972624,40.752794
41181390,MANDARIN HOUSE I,Chinese,"laconia avenue 4129 , NY, US",-73.8472371,40.8879388
41494675,AMADEUS,Jewish/Kosher,"108 street 6419 , NY, US",-73.8493697,40.7325238
50011722,OLD TBILISI,Mediterranean,"bleecker st 174 , NY, US",-74.0007921,40.7287958
41453428,SPOT,Bakery,"st marks place 13 , NY, US",-73.9889219,40.7293891
50000800,TOSCA CAFE,American,"e tremont ave 4038 , NY, US",-73.8176486,40.8190672
41023651,MCDONALD'S,Hamburgers,"metropolitan avenue 5429 , NY, US",-73.9097001,40.71333449999999
50002494,GLORIETTA BALDY,American,"franklin ave 502 , NY, US",-73.9559932,40.6815881
41554424,COYOTE BOHEMIO,Mexican,"myrtle avenue 5519 , NY, US",-73.9078035,40.7000646
41706176,FORNO SICILIANO,Italian,"ditmars boulevard 4319 , NY, US",-73.9032398,40.7710652
41556209,NEW EMPIRE KITCHEN,Chinese,"utopia parkway 1702 , NY, US",-73.7947554,40.7824942
41716939,WILMA JEAN,Chicken,"smith street 345 , NY, US",-73.9948084,40.6799788
41529795,JIMMY'S HOUSE CHINESE CUISINE,Chinese,"east   25 street 162 , NY, US",-73.9826897,40.7401525
41199771,A.R'S TAVERN,American,"college point boulevard 1425 , NY, US",-73.8455796,40.7845821
41696943,SUBWAY,Sandwiches,"broadway 4017 , NY, US",-73.9394277,40.841725
50043369,COFFEE BREAK,Bakery,"amsterdam ave 929 , NY, US",-73.9656396,40.800045
41701548,TWO-BITS RETRO ARCADE,American,"essex street 153 , NY, US",-73.98725859999999,40.7208577
